cost_id,cost_name
60200,กยท.จ.ประจวบคีรีขันธ
60300,กยท.จ.สุราษฎร์ธานี
60301,กยท.ส.เมืองสุราษฏร์
60302,กยท.ส.คีรีรัฐนิคม
60303,กยท.ส.ไชยา
60304,กยท.ส.บ้านนาสาร
60305,กยท.ส.พระแสง
60306,กยท.ส.เวียงสระ
60307,กยท.ส.เคียนซา
60400,กยท.จ.ระนอง
60500,กยท.จ.ชุมพร
60501,กยท.ส.เมืองชุมพร
60502,กยท.ส.ปะทิว
60503,กยท.ส.ท่าแซะ
70000,กยท.เขตภาคใต้ตอนกลาง
70100,กองจัดการโรงงาน 1
70200,กองจัดการโรงงาน 2
70300,กองจัดการโรงงาน 3
70400,สตก.จ.นครศรีธรรมราช
70500,กองจัดการสวนยาง 1
70600,กองจัดการสวนยาง 2
70700,กองจัดการสวนยาง 3
70800,กองจัดการ รง ไม้ยาง
70900,กยท.จ.นครศรีฯ
70901,กยท.ส.เมืองนครศรีฯ
70902,กยท.ส.ทุ่งสง
70903,กยท.ส.ฉวาง
70904,กยท.ส.ร่อนพิบูลย์
70905,กยท.ส.ท่าศาลา
70906,กยท.ส.นาบอน
70907,ศรย.นครศรีธรรมราช
71000,กยท.จ.กระบี่
71001,กยท.ส.เมืองกระบี่
71002,กยท.ส.เขาพนม
71003,กยท.ส.คลองท่อม
71004,ศรย.กระบี่
71100,กยท.จ.พังงา
71101,กยท.ส.เมืองพังงา
71102,กยท.ส.ท้ายเหมือง
71200,กยท.จ.ภูเก็ต
71300,กยท.จ.ตรัง
71301,กยท.ส.เมืองตรัง
71302,กยท.ส.ห้วยยอด
71303,กยท.สาขากันตัง
71304,กยท.ส.ย่านตาขาว
71305,กยท.ส.ปะเหลียน
71306,กยท.ส.สิเกา
71400,กยท.จ.พัทลุง
71401,กยท.ส.เมืองพัทลุง
71402,กยท.ส.ควนขนุน
71403,กยท.ส.ป่าบอน
71404,กยท.ส.บางแก้ว
71405,ศรย.พัทลุง
80000,กยท.เขตภาคใต้ตอนล่าง
80100,สตก.จ.สงขลา
80200,สตก.จ.ยะลา
80300,กยท.จ.สงขลา
80301,กยท.ส.เมืองสงขลา
80302,กยท.ส.หาดใหญ่
80303,กยท.ส.สะเดา
80304,กยท.ส.รัตภูมิ
80305,กยท.ส.เทพา
80306,กยท.ส.นาทวี
80307,กยท.ส.จะนะ
80308,กยท.ส.สะบ้าย้อย
80309,กยท.ส.คลองหอยโข่ง
80400,กยท.จ.สตูล
80401,กยท.ส.เมืองสตูล
80402,กยท.ส.ละงู
80500,กยท.จ.ปัตตานี
80501,กยท.ส.เมืองปัตตานี
80502,กยท.ส.โคกโพธิ์
80503,กยท.ส.สายบุรี
80600,กยท.จ.ยะลา
80601,กยท.ส.เมืองยะลา
80602,กยท.ส.เบตง
80603,กยท.ส.บันนังสตา
80604,กยท.ส.ยะหา
80605,กยท.ส.รามัน
80700,กยท.จ.นราธิวาส
80701,กยท.ส.เมืองนราธิวาส
80702,กยท.ส.ระแงะ
80703,กยท.ส.รือเสาะ
80704,กยท.ส.สุไหงโกลก
90000,Dummy
900000,Dummy 1
99999,ศูนย์เงินทุน
